                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.73298,                0.51398,                  1.062,                0.91459,                0.92674,                0.96825,                0.68895,                 1.0932,                0.55535,                  1.399,               0.001241,               0.001241,               0.001241
                    118,                0.67859,                0.48079,                 1.0133,                0.91295,                0.90765,                0.95267,                0.68595,                 1.1158,                0.50934,                 1.4233,              0.0012344,              0.0012344,              0.0012344
                    119,                0.69085,                0.47413,                 1.0088,                 0.9001,                0.91346,                0.93593,                0.67488,                 1.1115,                0.55606,                  1.422,              0.0012278,              0.0012278,              0.0012278
                    120,                0.70011,                0.49814,                 1.0261,                0.93453,                0.91346,                0.97542,                0.66424,                 1.1244,                 0.5314,                 1.4239,              0.0012212,              0.0012212,              0.0012212
                    121,                0.68008,                0.50161,                 1.0269,                0.97008,                0.89423,                0.97486,                 0.6957,                 1.0936,                0.54342,                 1.3856,              0.0012146,              0.0012146,              0.0012146
                    122,                0.68239,                0.49072,                 1.0279,                0.88947,                0.93269,                0.94936,                0.68431,                 1.1498,                0.53036,                 1.4747,               0.001208,               0.001208,               0.001208
                    123,                  0.726,                0.51903,                 1.0374,                0.92677,                0.88462,                 0.9469,                0.68408,                 1.1085,                0.51152,                  1.425,              0.0012014,              0.0012014,              0.0012014
                    124,                0.69177,                0.49685,                 1.0207,                 0.9237,                0.88462,                0.94519,                0.68748,                 1.1113,                 0.6136,                 1.3975,              0.0011948,              0.0011948,              0.0011948
                    125,                0.67789,                0.48341,                 1.0023,                0.91505,                0.93213,                0.94895,                0.66079,                 1.1433,                0.56238,                 1.4575,              0.0011882,              0.0011882,              0.0011882
                    126,                0.67215,                 0.4928,                 1.0089,                0.96462,                0.90385,                0.96192,                0.69117,                 1.0446,                0.58812,                 1.3629,              0.0011816,              0.0011816,              0.0011816
                    127,                0.65656,                0.46396,                0.99796,                0.93505,                0.96894,                0.97208,                0.70867,                 1.0392,                0.49322,                 1.3291,               0.001175,               0.001175,               0.001175
                    128,                0.68101,                0.47178,                 1.0178,                0.95062,                0.92548,                0.96369,                0.68065,                 1.0734,                0.56203,                  1.364,              0.0011684,              0.0011684,              0.0011684
                    129,                0.68613,                0.48279,                 1.0286,                0.91574,                0.94056,                0.96038,                 0.6871,                 1.0759,                0.53942,                 1.3407,              0.0011618,              0.0011618,              0.0011618
                    130,                0.65786,                0.47786,                 1.0079,                0.94052,                0.91221,                0.95428,                0.66056,                 1.1739,                0.55218,                  1.475,              0.0011552,              0.0011552,              0.0011552
                    131,                0.65249,                0.47758,                 1.0067,                 0.9381,                0.90385,                0.95358,                0.67653,                 1.1091,                0.57665,                 1.4387,              0.0011486,              0.0011486,              0.0011486
                    132,                0.63343,                0.46975,                0.99467,                0.93086,                 0.9062,                0.96496,                0.66561,                 1.1205,                0.63014,                 1.4198,               0.001142,               0.001142,               0.001142
                    133,                0.65245,                0.47054,                 1.0156,                0.91831,                0.92308,                0.96264,                0.66679,                 1.1232,                0.51861,                 1.4153,              0.0011354,              0.0011354,              0.0011354
                    134,                 0.6787,                0.47923,                  1.012,                0.94711,                0.96154,                0.97987,                0.68782,                 1.1156,                0.49823,                 1.3925,              0.0011288,              0.0011288,              0.0011288
                    135,                 0.6903,                0.48815,                  1.023,                 0.9306,                0.93269,                0.97622,                 0.7106,                 1.0236,                 0.5124,                 1.2964,              0.0011222,              0.0011222,              0.0011222
                    136,                0.63427,                0.45604,                0.99931,                0.92116,                0.92308,                0.96126,                0.69979,                 1.0894,                0.52975,                 1.3693,              0.0011156,              0.0011156,              0.0011156
                    137,                0.62891,                 0.4676,                 1.0009,                0.95247,                0.92308,                0.95962,                0.68303,                 1.0627,                0.52781,                 1.3604,               0.001109,               0.001109,               0.001109
                    138,                0.65213,                0.48482,                 1.0132,                0.94093,                0.91897,                 0.9667,                0.68864,                 1.0862,                0.49503,                 1.3773,              0.0011024,              0.0011024,              0.0011024
                    139,                0.63196,                0.45704,                0.97876,                0.95525,                0.90385,                0.95107,                0.66822,                 1.1083,                0.52232,                 1.3716,              0.0010958,              0.0010958,              0.0010958
                    140,                0.63637,                0.44045,                0.98529,                 0.9613,                0.90385,                  0.963,                0.66917,                 1.1343,                0.49407,                 1.4125,              0.0010892,              0.0010892,              0.0010892
                    141,                0.63036,                0.45128,                0.98907,                0.94282,                 0.9512,                0.98451,                0.69054,                 1.0948,                0.51922,                 1.4022,              0.0010826,              0.0010826,              0.0010826
                    142,                0.61665,                0.45631,                0.98075,                0.93394,                0.95155,                0.97398,                0.67976,                 1.1509,                0.51143,                 1.4504,               0.001076,               0.001076,               0.001076
                    143,                0.64481,                0.47234,                 1.0035,                0.96031,                0.93063,                 0.9793,                0.69252,                 1.1054,                0.53246,                 1.3777,              0.0010694,              0.0010694,              0.0010694
                    144,                0.60225,                0.42827,                0.96606,                0.92839,                0.87261,                0.95011,                0.67529,                 1.1229,                0.54156,                 1.4001,              0.0010628,              0.0010628,              0.0010628
                    145,                0.64632,                0.44208,                0.98332,                0.88986,                0.93222,                0.96233,                0.65376,                 1.1801,                0.51494,                 1.4782,              0.0010562,              0.0010562,              0.0010562
                    146,                0.61436,                 0.4458,                 0.9825,                0.92362,                0.93269,                 0.9619,                0.68605,                 1.0712,                0.48311,                 1.3808,              0.0010496,              0.0010496,              0.0010496
                    147,                0.58368,                0.42639,                  0.984,                0.91064,                0.94231,                0.97116,                0.68467,                 1.0552,                0.49495,                 1.3826,               0.001043,               0.001043,               0.001043
                    148,                0.62377,                0.44488,                0.99495,                0.88706,                0.94231,                0.94391,                0.67638,                 1.1007,                0.55245,                 1.3935,              0.0010364,              0.0010364,              0.0010364
                    149,                0.63435,                0.46015,                0.98985,                0.90872,                0.96154,                0.97183,                0.70343,                 1.0758,                0.50865,                 1.4078,              0.0010298,              0.0010298,              0.0010298
                    150,                0.60394,                0.44744,                0.96897,                0.87964,                0.92308,                0.95161,                0.66807,                 1.1454,                0.53864,                 1.4717,              0.0010232,              0.0010232,              0.0010232
                    151,                0.61146,                0.44009,                0.99368,                0.89237,                0.95666,                0.96434,                0.69016,                 1.0972,                 0.5119,                 1.4475,              0.0010166,              0.0010166,              0.0010166
